,model,roc_auc_item_weighted,ci_lower,ci_upper
0,23-sfcost-prod,0.6517253773921939,0.6293423446331247,0.6734065097213512
1,23-sfcost-prod-noseg,0.6477599995038759,0.6253993246919566,0.6693235619738298
2,23-sfcost-Sublex-prod,0.6396344854911137,0.616959146526055,0.6615958884978704
3,Sublex_Score,0.637275266485948,0.6152122876656927,0.6588706907524402
4,23-sr-sfcost,0.6296425451663583,0.607344339799114,0.6515602819174999
5,nom_fit,0.6130369428711662,0.590455715164262,0.6342439271349097
6,23-scost-prod,0.6113213456722788,0.5882402716524535,0.6342544021616537
7,23-scost-Sublex-prod,0.6104928569853605,0.5877552688399742,0.6333362694881516
8,23-sr-scost,0.5863772950678312,0.5638893925521304,0.6090677848374731
9,2-scost-Sublex-prod,0.5745792543999532,0.553123367388754,0.5960333457972532
10,2-sfcost-Sublex-prod,0.5728799823846692,0.551127145106879,0.5948726425970076
11,2-scost-prod,0.5562178175185486,0.5343352638052778,0.5776295568640389
12,3-Bool-Sublex,0.5501771015489854,0.5307989547640601,0.569831280545127
13,2-Bool-Sublex,0.5501771015489854,0.5307989547640601,0.569831280545127
14,2-sfcost-prod,0.5473895201630534,0.5281132020379806,0.5663009916564326
15,2-Bool,0.5362265181887637,0.5181418685752694,0.5554778982260221
16,3-Bool,0.5362265181887637,0.5181418685752694,0.5554778982260221
17,2-sfcost-prod-noseg,0.5102267409512933,0.4980375523846692,0.5223123637596827
