,model,n,pearson_r,pearson_ci_lo,pearson_ci_hi,spearman_rho,spearman_ci_lo,spearman_ci_hi,kendall_tau_b,kendall_ci_lo,kendall_ci_hi,rank_pearson,rank_spearman,rank_kendall
0,Sublex_Score,46,0.8928814662526523,0.8344837470678307,0.9386010586073252,0.8536345880103988,0.7453610812134621,0.9174803863587099,0.673497260719764,0.5643503968098084,0.7774619731289132,1.0,2.0,2.0
1,23-sr-sfcost,46,0.8786983616900342,0.8247028010188089,0.9247661812482102,0.8527044460728189,0.732122226907768,0.9088138131276554,0.661164335781387,0.5361473826820969,0.7604458989141407,2.0,3.0,3.0
2,23-sfcost-prod,46,0.8438085626092674,0.7803054375530362,0.922817732549398,0.8585710320642395,0.7171902564165971,0.9230086048122218,0.6832298800943271,0.5491274972879386,0.790572519437017,3.0,1.0,1.0
3,23-sr-scost,46,0.8072305505159979,0.728474795354094,0.8741764124058292,0.7397180987298126,0.5576619792863909,0.8465842089517044,0.5287367221344523,0.3760374679773238,0.6623629551506638,4.0,6.0,6.0
4,23-scost-prod,46,0.7814551835674166,0.6920937694600884,0.8750146877031147,0.7923609761921016,0.6332278917173813,0.8816959914666723,0.6092619728476477,0.47113349226873097,0.7255069904297285,5.0,5.0,4.0
5,nom_fit,46,0.7380766694079072,0.6404042751871696,0.824744769152311,0.6551895370460037,0.47991353040866425,0.7579573176076061,0.4321283002306,0.29323197442072574,0.559629635859058,6.0,8.0,8.0
6,23-sfcost-Sublex-prod,46,0.7129097256880789,0.5988095126536092,0.8308241637008189,0.8041467363706463,0.6572352200937718,0.8817924791743592,0.6073154489727352,0.46396373109351835,0.7218863541304548,7.0,4.0,5.0
7,2-scost-Sublex-prod,46,0.6676644814630002,0.5253559817875851,0.7803952529330124,0.6201747035233635,0.3971436041962997,0.7623531575068908,0.42537091461564674,0.253111036376594,0.572293094195684,8.0,9.0,9.0
8,23-scost-Sublex-prod,46,0.6560658663494283,0.5412898685228217,0.7835653678685292,0.708564838378156,0.5293281270488623,0.8170112411879032,0.5002566358525414,0.3555529360667585,0.6288335003395015,9.0,7.0,7.0
9,2-Bool-Sublex,46,0.6559344395525257,0.494989832275055,0.7807539922277192,0.5913397872640132,0.3569181518582131,0.7414702697935317,0.4019571916649004,0.21834319826189139,0.5593601748005076,10.0,11.0,11.0
10,3-Bool-Sublex,46,0.6559344395525257,0.4931346495994524,0.7776667124937019,0.5913397872640132,0.3589420813477048,0.7419024830085582,0.4019571916649004,0.21876274440645876,0.5484608039247434,10.0,11.0,11.0
11,2-sfcost-Sublex-prod,46,0.653696102536256,0.4869169844974819,0.7697419413681221,0.6094295447402662,0.37432688193631264,0.7524226741834017,0.41131307610192436,0.22935260417226946,0.5569885111280439,12.0,10.0,10.0
12,2-sfcost-prod,46,0.5518647657617837,0.35153057431260576,0.7230434162571212,0.5191311271853831,0.24963986073449015,0.7182654575954979,0.3725065764045455,0.1822719241714969,0.5312742692485165,13.0,13.0,13.0
13,2-scost-prod,46,0.3569632936468618,0.07078699264982956,0.5935575963631585,0.3587386165393048,0.06384154762329029,0.5913636199156519,0.2504916126971435,0.04862440381562451,0.4311798772344735,14.0,14.0,14.0
14,2-Bool,46,0.27312301216984197,-0.029083276421645304,0.5461537115016601,0.2868406744538411,-0.02719269566160435,0.565921933838433,0.21400769130804112,-0.01406027751860179,0.4317376151289004,15.0,15.0,15.0
15,3-Bool,46,0.27312301216984197,-0.028769682981484676,0.5541223002296078,0.2868406744538411,-0.037457954433681134,0.5796193285068866,0.21400769130804112,-0.02351988786113005,0.43673236431564205,15.0,15.0,15.0
