,GenSR,YerUR,translit,23-sfcost-prod,Sublex_Score
0,b-v-a,b-e_flt-v,bj-e-v,0.07142857142857144,0.0910270904149133
1,bj-i-b-v-a,bj-i-b-e_flt-v,bj-i-bj-e-v,0.07142857142857144,0.0910270904149133
2,zj-i-b-v-a,zj-i-b-o_flt-v,zj-i-b-o-v,0.05555555555555556,0.1822990340551501
3,b-v-a,b-o_flt-v,b-o-v,0.08333333333333334,0.1822990340551501
4,l-a-b-v-a,l-a-b-e_flt-v,l-a-bj-e-v,0.07142857142857144,0.0910270904149133
5,b-v-a,b-e_flt-v,bj-e-v,0.07142857142857144,0.0910270904149133
6,n-u-b-v-a,n-u-b-o_flt-v,n-u-b-o-v,0.05555555555555556,0.1822990340551501
7,b-v-a,b-o_flt-v,b-o-v,0.08333333333333334,0.1822990340551501
8,b-a-b-v-a,b-a-b-o_flt-v,b-a-b-o-v,0.1,0.1822990340551501
9,tj-i-b-v-a,tj-i-b-e_flt-v,tj-i-bj-e-v,0.07142857142857144,0.0910270904149133
10,zh-u-b-v-a,zh-u-b-e_flt-v,zh-u-bj-e-v,0.04166666666666667,0.0910270904149133
11,kj-i-b-v-a,kj-i-b-e_flt-v,kj-i-bj-e-v,0.04166666666666667,0.0910270904149133
12,b-a-b-v-a,b-a-b-o_flt-v,b-a-b-o-v,0.1,0.1822990340551501
13,k-u-b-v-a,k-u-b-e_flt-v,k-u-bj-e-v,0.07142857142857144,0.0910270904149133
14,b-v-a,b-e_flt-v,bj-e-v,0.07142857142857144,0.0910270904149133
15,t-a-b-v-a,t-a-b-e_flt-v,t-a-bj-e-v,0.07142857142857144,0.0910270904149133
16,b-d-a,b-e_flt-d,bj-e-d,0.05555555555555556,0.1366968721250929
17,b-d-a,b-o_flt-d,b-o-d,0.1111111111111111,0.1701251181442509
18,l-a-b-d-a,l-a-b-e_flt-d,l-a-bj-e-d,0.08333333333333334,0.1366968721250929
19,g-a-b-d-a,g-a-b-e_flt-d,g-a-bj-e-d,0.08333333333333334,0.1366968721250929
20,sh-i-b-d-a,sh-i-b-o_flt-d,sh-i-b-o-d,0.16666666666666666,0.1701251181442509
21,b-d-a,b-o_flt-d,b-o-d,0.1111111111111111,0.1701251181442509
22,z-u-b-d-a,z-u-b-o_flt-d,z-u-b-o-d,0.16666666666666666,0.1701251181442509
23,b-a-b-d-a,b-a-b-o_flt-d,b-a-b-o-d,0.25,0.1701251181442509
24,zj-i-b-d-a,zj-i-b-e_flt-d,zj-i-bj-e-d,0.03571428571428572,0.1366968721250929
