,base,GenSR,Sublex_Score
0,bj-e-v,b-v-a,0.0910270904149133
27,bj-i-bj-e-v,bj-i-b-v-a,0.0910270904149133
28,zj-i-b-o-v,zj-i-b-v-a,0.1822990340551501
29,b-o-v,b-v-a,0.1822990340551501
37,l-a-bj-e-v,l-a-b-v-a,0.0910270904149133
65,n-u-b-o-v,n-u-b-v-a,0.1822990340551501
74,b-a-b-o-v,b-a-b-v-a,0.1822990340551501
82,tj-i-bj-e-v,tj-i-b-v-a,0.0910270904149133
83,zh-u-bj-e-v,zh-u-b-v-a,0.0910270904149133
84,kj-i-bj-e-v,kj-i-b-v-a,0.0910270904149133
93,k-u-bj-e-v,k-u-b-v-a,0.0910270904149133
121,t-a-bj-e-v,t-a-b-v-a,0.0910270904149133
122,bj-e-d,b-d-a,0.1366968721250929
123,b-o-d,b-d-a,0.1701251181442509
150,l-a-bj-e-d,l-a-b-d-a,0.1366968721250929
151,g-a-bj-e-d,g-a-b-d-a,0.1366968721250929
152,sh-i-b-o-d,sh-i-b-d-a,0.1701251181442509
180,z-u-b-o-d,z-u-b-d-a,0.1701251181442509
181,b-a-b-o-d,b-a-b-d-a,0.1701251181442509
182,zj-i-bj-e-d,zj-i-b-d-a,0.1366968721250929
183,lj-i-b-o-d,lj-i-b-d-a,0.1701251181442509
211,gj-i-b-o-d,gj-i-b-d-a,0.1701251181442509
212,s-u-b-o-d,s-u-b-d-a,0.1701251181442509
213,r-a-b-o-d,r-a-b-d-a,0.1701251181442509
214,bj-e-d-b,b-d-b-a,
215,b-d-o-b,b-d-b-a,0.0591859481275184
216,b-dj-e-b,b-d-b-a,0.0530505739387392
217,n-u-bj-e-d-b,n-u-b-d-b-a,
218,b-o-d-v,b-d-v-a,6.36472921819e-05
219,r-u-b-o-d-v,r-u-b-d-v-a,6.36472921819e-05
220,m-u-b-d-o-v,m-u-b-d-v-a,0.8840743650919015
221,b-a-b-dj-e-v,b-a-b-d-v-a,0.8680655522521133
222,bj-e-d-v,b-d-v-a,
223,b-d-o-v,b-d-v-a,0.8840743650919015
224,sh-u-b-d-o-v,sh-u-b-d-v-a,0.8840743650919015
225,b-d-o-z,b-d-z-a,0.3160444546759278
233,r-u-b-dj-e-z,r-u-b-d-z-a,0.2933850463255292
242,b-dj-e-z,b-d-z-a,0.2933850463255292
269,bj-e-d-z,b-d-z-a,
339,b-u-bj-e-d-r,b-u-b-d-r-a,
340,zh-u-b-o-d-r,zh-u-b-d-r-a,0.0006485711092168
341,kj-i-bj-e-d-r,kj-i-b-d-r-a,
342,b-d-o-r,b-d-r-a,0.9799683527160539
343,sh-u-b-dj-e-r,sh-u-b-d-r-a,0.976246842549924
344,b-o-d-r,b-d-r-a,0.0006485711092168
345,gj-e-b,g-b-a,0.0297997933878465
346,g-o-b,g-b-a,0.040212380911572
410,m-u-gj-e-b,m-u-g-b-a,0.0216258904968569
411,b-u-g-o-b,b-u-g-b-a,0.040212380911572
412,b-a-gj-e-b,b-a-g-b-a,0.0297997933878465
413,x-a-gj-e-b,x-a-g-b-a,0.0297997933878465
606,k-u-g-o-b,k-u-g-b-a,0.040212380911572
607,b-u-g-bj-e-v,b-u-g-b-v-a,0.0003095751655431
608,kj-i-g-o-b-v,kj-i-g-b-v-a,3.6933767321673035e-07
609,g-b-o-v,g-b-v-a,0.00043791083560549995
610,lj-i-g-bj-e-v,lj-i-g-b-v-a,0.0003095751655431
611,gj-i-gj-e-b-v,gj-i-g-b-v-a,
612,mj-i-g-bj-e-v,mj-i-g-b-v-a,0.0003095751655431
613,gj-e-b-v,g-b-v-a,
614,xj-i-g-o-b-v,xj-i-g-b-v-a,3.6933767321673035e-07
630,pj-i-g-o-b-v,pj-i-g-b-v-a,3.6933767321673035e-07
631,g-o-b-v,g-b-v-a,3.6933767321673035e-07
632,g-u-g-bj-e-v,g-u-g-b-v-a,0.0003095751655431
633,lj-i-g-b-o-d,lj-i-g-b-d-a,0.000173526284671
634,k-u-g-b-o-d,k-u-g-b-d-a,0.000173526284671
635,sh-u-g-b-o-d,sh-u-g-b-d-a,0.000173526284671
636,zh-u-gj-e-b-d,zh-u-g-b-d-a,
637,g-a-g-bj-e-d,g-a-g-b-d-a,0.000148318535586
638,g-bj-e-d,g-b-d-a,0.000148318535586
639,g-b-o-d,g-b-d-a,0.000173526284671
640,gj-e-b-d,g-b-d-a,
641,t-u-g-o-b-d,t-u-g-b-d-a,4.009743251990499e-07
642,zh-a-g-o-v,zh-a-g-v-a,0.6666666666666666
643,l-u-gj-e-v,l-u-g-v-a,0.3932826534755864
644,sh-a-g-o-v,sh-a-g-v-a,0.6666666666666666
